,competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,x_jitter,y_jitter
0,100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725,1.436110229099045,-0.2971377182146635
1,3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936,1.367385768797146,-0.46286058971796873
2,One dime,0,0,0,0,0,0,0,0,0,0.011,0.116,32.261086,-0.006901868869370054,-0.08438966871268176
3,One quarter,0,0,0,0,0,0,0,0,0,0.011,0.51099998,46.116505,-0.06202348617759312,-0.21656325423921483
4,Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465,-0.5581493179613087,-0.5696980792502359
5,Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546,1.1631492990788759,-0.1426633673926742
6,Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547,1.3819290732559886,-0.33774890847309147
7,Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824,-0.1907001583677346,0.8349338468444758
8,Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963,-0.2951561407489164,0.6351710150364818
9,Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681,-0.09305901318128926,-0.7403999242896957
10,Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037,1.1295348039366082,-0.4241535401563184
11,Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628,-0.8595222236637725,0.2011305195446837
12,Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988,-0.846935069716583,0.024981785202859763
13,Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076,-0.8041678738737189,-0.01978673253568919
14,Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556,-0.6697372819950362,-0.8348424276058077
15,Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924,-0.7188735351717581,0.2602453024798814
16,Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505,-0.7113893262414265,-0.9145001657318091
17,Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348,-1.1185541145867424,-0.1039316788759966
18,Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974,-0.7048598239741642,0.16148759762271933
19,Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958,-0.3004960769977384,0.48391101981521534
20,Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243,-0.9005426458496915,0.17391425832134502
21,Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178772,-0.8297532409566579,0.1822730040270925
22,Hershey's Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454,0.20780171336595585,0.8341255928458817
23,Hershey's Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.284481,1.1291882527772332,-0.19793507089518347
24,Hershey's Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501,0.9758712541912195,-0.3470535267894616
25,Hershey's Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236122,0.999418300763672,-0.24057332198092327
26,Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439,-1.1264165136670625,-0.15109490876974854
27,Junior Mints,1,0,0,0,0,0,0,0,1,0.197,0.51099998,57.21925,0.15122273148754073,0.6913023083297167
28,Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686,0.8941050262596678,-0.10004344743974868
29,Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.116,41.389557,-0.4683893425794791,-0.41166019004108323
30,Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.104,39.141056,-0.7174138973048887,-0.9964743612988288
31,Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392,-0.5247100200998098,-0.6618724477223563
32,Peanut butter M&M's,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505,0.18945976461741568,1.11540101445965
33,M&M's,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585,0.29534181422340877,0.8248749638063718
34,Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716,-0.9263863349492946,0.1576449159738954
35,Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064072,0.42439147064403465,0.7788121002675749
36,Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556,1.0136184583399872,-0.34353596199157477
37,Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701,1.2815625208087342,-0.3784929906024514
38,Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334,1.175081670094495,-0.24107914758480192
39,Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754,1.0063614390671454,-0.26327359987699156
40,Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451,1.1592431128696934,-0.08762978380324508
41,Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046,-1.150902702819789,-0.17109800863095986
42,Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641,1.2177194637119748,-0.009156301686529766
43,Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068,0.9679767954045366,-0.22641096427378055
44,Nik L Nip,0,1,0,0,0,0,0,0,1,0.197,0.97600001,22.445341,-0.7956057024882389,0.16581767485622764
45,Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468,-1.0380733898124777,0.06646662248856072
46,Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597,0.9095262572091874,-0.47585329842068663
47,Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788,0.3947944663115031,0.9380888799088983
48,Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336,-0.568947489035291,0.39860543583058317
49,Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511,-1.0553093318646294,-0.02509616331570591
50,Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.116,37.348522,-0.9750036995902558,0.08492600844855835
51,Reese's Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.866257,0.6556617720549377,0.2049221678798946
52,Reese's Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029,0.7176494797360173,0.15384036321454292
53,Reese's pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499,0.266166611253129,0.888285143273623
54,Reese's stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901,0.733374443821824,0.22527903912456848
55,Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756,-0.670083055213933,-1.059139388880189
56,Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286,0.3639728666355731,0.7222724709409407
57,Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691,-0.5053635568243917,0.12176002466104172
58,Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144,-1.03800699542444,-0.17643239749774836
59,Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722,0.25571879812906706,0.7789942497022417
60,Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514,-0.7416305507435851,0.30412510745653076
61,Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103695,-0.8018036832523049,-0.04014798549342563
62,Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188,0.05715289545270798,0.6757005105950573
63,Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.116,45.995827,-0.9980004633943419,-0.16124932521137897
64,Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.673782,1.652212893447934,-0.32216151837117646
65,Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251,1.5333158681112753,-0.2209727890432738
66,Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.116,59.863998,-0.9161899836313644,0.12198015839580359
67,Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.116,52.825947,-0.8381441993081991,0.058362239531805554
68,Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628,-0.840431404789402,0.02888111943932517
69,Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578991,-1.0903450802903423,-0.30524952727353727
70,Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755,-0.17819706456487627,0.5057766049547843
71,Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995,0.15971383903589936,-0.27652808497395803
72,Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.116,27.303865,-0.5163423311128902,-0.7182459986649021
73,Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111,-0.8650031189620411,0.001176814508071028
74,Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651,-0.32693941249272485,-0.6121220970659563
75,Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897,0.547000154247877,0.04890382770640166
76,Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011,45.736748,0.09546483418228917,0.9152507838957988
77,Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503,0.8293042821276514,0.10222223965408114
78,Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229,-0.807440597401069,0.10206102940470223
79,Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914,1.4321813567216257,-0.5683533551248956
80,Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.116,45.466282,-0.6105493675983759,-0.6066306864370253
81,Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.116,39.011898,-0.5831719788100699,-0.9207864436488368
82,Welch's Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519,-0.8671595245362745,0.22289485336239243
83,Werther's Original Caramel,0,0,1,0,0,0,1,0,0,0.186,0.26699999,41.904308,0.05535210779445783,-0.6091748641816398
84,Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113,0.3366019493312809,0.963864588934818
